Ticker,Term,Beta,T_Stat,R2,N_Obs,Start,End
JNJ,Alpha,0.002190823911142944,0.9135763910121307,0.32938745990871765,246,2006-01-01,2026-06-01
JNJ,Mkt-RF,0.5807656659419442,8.750199759394015,0.32938745990871765,246,2006-01-01,2026-06-01
JNJ,SMB,-0.1973497127456394,-1.6559587745658049,0.32938745990871765,246,2006-01-01,2026-06-01
JNJ,HML,0.02995947412852979,0.2588458744636821,0.32938745990871765,246,2006-01-01,2026-06-01
JNJ,RMW,0.2246588090414814,2.055747160362599,0.32938745990871765,246,2006-01-01,2026-06-01
JNJ,CMA,0.5786459344952796,3.0127268508709966,0.32938745990871765,246,2006-01-01,2026-06-01
JPM,Alpha,0.00577975891848056,1.7090328384644282,0.6610242104396833,246,2006-01-01,2026-06-01
JPM,Mkt-RF,1.0181490867918408,8.738155975138831,0.6610242104396833,246,2006-01-01,2026-06-01
JPM,SMB,-0.22245267685208536,-1.5783553530213754,0.6610242104396833,246,2006-01-01,2026-06-01
JPM,HML,1.2893247319337577,7.476903546177865,0.6610242104396833,246,2006-01-01,2026-06-01
JPM,RMW,-0.5386930989771337,-2.828327849953957,0.6610242104396833,246,2006-01-01,2026-06-01
JPM,CMA,-0.5076095119582825,-2.2640352646857065,0.6610242104396833,246,2006-01-01,2026-06-01
KO,Alpha,0.0013898423892752532,0.6598633940981626,0.3741540470160154,246,2006-01-01,2026-06-01
KO,Mkt-RF,0.6185413640453447,11.168756495747221,0.3741540470160154,246,2006-01-01,2026-06-01
KO,SMB,-0.46431457887392236,-3.8886952443463594,0.3741540470160154,246,2006-01-01,2026-06-01
KO,HML,0.09212665278338288,0.7210954482519253,0.3741540470160154,246,2006-01-01,2026-06-01
KO,RMW,0.4389961974838304,3.479069281217,0.3741540470160154,246,2006-01-01,2026-06-01
KO,CMA,0.4166150457818828,2.2493723660606797,0.3741540470160154,246,2006-01-01,2026-06-01
MSFT,Alpha,0.003443587620606815,1.1577644156323317,0.5078204859435925,246,2006-01-01,2026-06-01
MSFT,Mkt-RF,1.0931729185440553,15.949984478794457,0.5078204859435925,246,2006-01-01,2026-06-01
MSFT,SMB,-0.6085150408912785,-4.264438825051384,0.5078204859435925,246,2006-01-01,2026-06-01
MSFT,HML,-0.21774358250167397,-1.5104852763810785,0.5078204859435925,246,2006-01-01,2026-06-01
MSFT,RMW,0.09146964531605423,0.7286325996107574,0.5078204859435925,246,2006-01-01,2026-06-01
MSFT,CMA,-0.2414893884416569,-1.1981509357152227,0.5078204859435925,246,2006-01-01,2026-06-01
PEP,Alpha,-0.0010978457438610176,-0.5273207554675349,0.35573121240629535,246,2006-01-01,2026-06-01
PEP,Mkt-RF,0.5847505814609896,9.777579116770756,0.35573121240629535,246,2006-01-01,2026-06-01
PEP,SMB,-0.2368957110945886,-2.1695310663917176,0.35573121240629535,246,2006-01-01,2026-06-01
PEP,HML,-0.05443246154418226,-0.5423714493681583,0.35573121240629535,246,2006-01-01,2026-06-01
PEP,RMW,0.5353379181315849,3.5393864270933406,0.35573121240629535,246,2006-01-01,2026-06-01
PEP,CMA,0.4845431799071308,3.4234847047159724,0.35573121240629535,246,2006-01-01,2026-06-01
PG,Alpha,-0.0009160215401929831,-0.41054138565413173,0.3750057637935612,246,2006-01-01,2026-06-01
PG,Mkt-RF,0.5984759219783929,10.18436259272738,0.3750057637935612,246,2006-01-01,2026-06-01
PG,SMB,-0.3765745946812921,-3.3511784864503182,0.3750057637935612,246,2006-01-01,2026-06-01
PG,HML,-0.12269915877645514,-1.0671740829019591,0.3750057637935612,246,2006-01-01,2026-06-01
PG,RMW,0.5089631768966397,4.5968669111725715,0.3750057637935612,246,2006-01-01,2026-06-01
PG,CMA,0.8142562165149244,5.2271425153487,0.3750057637935612,246,2006-01-01,2026-06-01
PLTR,Alpha,0.06146919198829395,2.4555536132245988,0.29789348528603543,69,2020-10-01,2026-06-01
PLTR,Mkt-RF,1.8402930390478043,1.953409056033327,0.29789348528603543,69,2020-10-01,2026-06-01
PLTR,SMB,1.6654088109832068,1.4149932468923858,0.29789348528603543,69,2020-10-01,2026-06-01
PLTR,HML,-1.9775392067496218,-2.292061285168796,0.29789348528603543,69,2020-10-01,2026-06-01
PLTR,RMW,-1.7134923753400297,-1.8100667771389218,0.29789348528603543,69,2020-10-01,2026-06-01
PLTR,CMA,0.003988302817340252,0.00247794636895889,0.29789348528603543,69,2020-10-01,2026-06-01
SPY,Alpha,-0.0002440879505809256,-1.5575333165565985,0.9968350323765772,246,2006-01-01,2026-06-01
SPY,Mkt-RF,0.993539010732309,177.28904678688178,0.9968350323765772,246,2006-01-01,2026-06-01
SPY,SMB,-0.12357634569504873,-16.867656093456784,0.9968350323765772,246,2006-01-01,2026-06-01
SPY,HML,0.02644994735242746,2.9436861623415522,0.9968350323765772,246,2006-01-01,2026-06-01
SPY,RMW,0.04782599787808945,3.389696278725458,0.9968350323765772,246,2006-01-01,2026-06-01
SPY,CMA,0.021863430402697066,1.9682377701090006,0.9968350323765772,246,2006-01-01,2026-06-01
UNH,Alpha,0.005018241358991345,1.2022099160814756,0.18166851192655264,246,2006-01-01,2026-06-01
UNH,Mkt-RF,0.715021704161892,5.627095975150216,0.18166851192655264,246,2006-01-01,2026-06-01
UNH,SMB,0.05537942047120035,0.28515054244313986,0.18166851192655264,246,2006-01-01,2026-06-01
UNH,HML,0.13786430273431893,0.6936439996318935,0.18166851192655264,246,2006-01-01,2026-06-01
UNH,RMW,-0.13240160914048618,-0.530141964161124,0.18166851192655264,246,2006-01-01,2026-06-01
UNH,CMA,-0.05672143413237222,-0.1888955441851803,0.18166851192655264,246,2006-01-01,2026-06-01
VFISX,Alpha,0.0003278144632389767,0.7957072204798266,0.03235882468288098,246,2006-01-01,2026-06-01
VFISX,Mkt-RF,-0.00031382533432733264,-0.027098822692048195,0.03235882468288098,246,2006-01-01,2026-06-01
VFISX,SMB,-0.003511925015366908,-0.23804749684321808,0.03235882468288098,246,2006-01-01,2026-06-01
VFISX,HML,-0.021244337193588085,-1.4695570428308684,0.03235882468288098,246,2006-01-01,2026-06-01
VFISX,RMW,0.025904405601104147,1.407329570097436,0.03235882468288098,246,2006-01-01,2026-06-01
VFISX,CMA,0.002935250268406472,0.12145644306806666,0.03235882468288098,246,2006-01-01,2026-06-01
VNQ,Alpha,-0.0025521346228387217,-1.032170651120918,0.5789770072022713,246,2006-01-01,2026-06-01
VNQ,Mkt-RF,0.9752733925781742,11.521773203649746,0.5789770072022713,246,2006-01-01,2026-06-01
VNQ,SMB,0.2688253569216721,2.184397269663794,0.5789770072022713,246,2006-01-01,2026-06-01
VNQ,HML,0.24707938580209043,1.4675385990584542,0.5789770072022713,246,2006-01-01,2026-06-01
VNQ,RMW,0.21629751189681676,1.5553601974834492,0.5789770072022713,246,2006-01-01,2026-06-01
VNQ,CMA,0.02225900255144536,0.11374294720566777,0.5789770072022713,246,2006-01-01,2026-06-01
VTV,Alpha,-0.0006616376692555677,-1.1967393768071886,0.9536017285449351,246,2006-01-01,2026-06-01
VTV,Mkt-RF,0.9073676746245951,43.97797724372124,0.9536017285449351,246,2006-01-01,2026-06-01
VTV,SMB,-0.07162720808957006,-2.262728527028809,0.9536017285449351,246,2006-01-01,2026-06-01
VTV,HML,0.30355632744862415,9.494046646180417,0.9536017285449351,246,2006-01-01,2026-06-01
VTV,RMW,0.06786617209424525,1.910940740664182,0.9536017285449351,246,2006-01-01,2026-06-01
VTV,CMA,0.20137883108764298,3.7382716627578945,0.9536017285449351,246,2006-01-01,2026-06-01
VUG,Alpha,0.0005632239243235082,1.1337015953760892,0.9723032459416533,246,2006-01-01,2026-06-01
VUG,Mkt-RF,1.079281244924277,73.64840051886841,0.9723032459416533,246,2006-01-01,2026-06-01
VUG,SMB,-0.11953661520247619,-3.9858785021643732,0.9723032459416533,246,2006-01-01,2026-06-01
VUG,HML,-0.25495497501999204,-9.908518488329245,0.9723032459416533,246,2006-01-01,2026-06-01
VUG,RMW,0.003404176643778116,0.10203005287830093,0.9723032459416533,246,2006-01-01,2026-06-01
VUG,CMA,-0.17033473212057143,-3.912312224306572,0.9723032459416533,246,2006-01-01,2026-06-01
XOM,Alpha,0.0005050367741503878,0.13829456874087476,0.3643686489589093,246,2006-01-01,2026-06-01
XOM,Mkt-RF,0.6773718669873497,6.212274668680124,0.3643686489589093,246,2006-01-01,2026-06-01
XOM,SMB,0.06830473168553051,0.36178354215339237,0.3643686489589093,246,2006-01-01,2026-06-01
XOM,HML,0.5017200922929043,2.3167469989838034,0.3643686489589093,246,2006-01-01,2026-06-01
XOM,RMW,0.4529956704029639,1.7489665673578048,0.3643686489589093,246,2006-01-01,2026-06-01
XOM,CMA,0.5364859738079967,2.124105052771222,0.3643686489589093,246,2006-01-01,2026-06-01
